구,고급휘발유,휘발유,경유,실내등유,셀프여부,상표
강서구,0,1273.77,1073.77,1250,일반,GS칼텍스
강서구,0,1352.33,1152.33,1250,일반,GS칼텍스
강서구,0,1530.23,1351.23,0,셀프,SK에너지
강서구,0,1484.24,1301.52,0,셀프,SK에너지
강서구,0,1406.48,1209.16,0,셀프,SK에너지
강서구,0,1251.9,1055.27,0,셀프,SK에너지
강서구,0,1199.58,1010.16,0,셀프,SK에너지
강서구,0,1292.33,1095.67,0,셀프,SK에너지
강서구,0,1541.52,1371.52,0,셀프,SK에너지
강서구,0,1508.03,1333.9,0,셀프,SK에너지
강서구,0,1431.84,1239.26,0,셀프,SK에너지
강서구,0,1287.67,1094,0,셀프,SK에너지
강서구,0,1236.68,1044.74,0,셀프,SK에너지
강서구,0,1330.67,1130.67,0,셀프,SK에너지
강서구,0,1520.68,1345.87,0,일반,알뜰주유소
강서구,0,1472.41,1289.55,0,일반,알뜰주유소
